user_id,name,city,age,source,registered_at
1,Сергей Сидоров,Казань,21,partner,2025-07-09 04:00:00
2,Сергей Смирнов,Новосибирск,64,unknown,2025-02-09 23:00:00
3,Алексей Морозов,Казань,55,social,2026-03-14 23:00:00
4,Максим Морозов,Екатеринбург,30,unknown,2026-02-17 09:00:00
5,Дмитрий Кузнецов,Санкт-Петербург,45,social,2025-06-21 04:00:00
6,Елена Морозов,Санкт-Петербург,21,partner,2025-08-28 16:00:00
7,Иван Сидоров,Санкт-Петербург,43,email,2025-12-24 17:00:00
8,Иван Попов,Санкт-Петербург,65,email,2025-02-15 18:00:00
9,Сергей Кузнецов,Казань,18,social,2026-01-24 08:00:00
10,Сергей Иванов,Нижний новгород,45,partner,2025-06-23 03:00:00
11,Максим Смирнов,Санкт-Петербург,34,email,2025-05-22 10:00:00
12,Сергей Волков,Краснодар,59,advertising,2026-02-19 02:00:00
13,Алексей Смирнов,Нижний новгород,60,organic,2025-07-30 06:00:00
14,Елена Волков,Москва,41,partner,2026-03-05 15:00:00
15,Артём Морозов,Санкт-Петербург,28,organic,2025-12-06 08:00:00
16,Сергей Кузнецов,Краснодар,20,advertising,2025-09-01 22:00:00
17,Елена Морозов,Казань,41,advertising,2025-11-14 08:00:00
18,Ольга Попов,Казань,64,advertising,2026-05-09 19:00:00
19,Алексей Волков,Казань,65,social,2025-05-26 21:00:00
20,Сергей Волков,Краснодар,57,social,2025-12-26 04:00:00
21,Сергей Морозов,Санкт-Петербург,39,partner,2025-05-21 00:00:00
22,Анна Попов,Краснодар,29,organic,2026-04-01 11:00:00
23,Ольга Смирнов,Краснодар,31,advertising,2026-03-03 19:00:00
24,Ольга Сидоров,Санкт-Петербург,49,social,2025-06-06 08:00:00
25,Ольга Петров,Москва,36,email,2025-01-17 05:00:00
26,Максим Иванов,Казань,31,organic,2025-08-29 03:00:00
27,Ольга Попов,Краснодар,27,organic,2026-05-07 23:00:00
28,Артём Смирнов,Краснодар,48,partner,2025-06-08 09:00:00
29,Максим Попов,Казань,26,email,2026-05-01 11:00:00
30,Анна Попов,Казань,36,email,2026-03-31 22:00:00
31,Ольга Попов,Екатеринбург,60,partner,2025-03-21 13:00:00
32,Ольга Морозов,Нижний новгород,34,organic,2025-05-21 14:00:00
33,Максим Сидоров,Краснодар,63,email,2026-03-14 20:00:00
34,Анна Смирнов,Нижний новгород,55,partner,2025-02-25 21:00:00
35,Артём Смирнов,Екатеринбург,41,email,2025-01-01 11:00:00
36,Максим Попов,Краснодар,62,email,2025-11-09 07:00:00
37,Алексей Петров,Новосибирск,59,partner,2026-04-21 18:00:00
38,Максим Попов,Санкт-Петербург,65,unknown,2025-12-13 01:00:00
39,Алексей Смирнов,Казань,48,organic,2026-01-01 13:00:00
40,Елена Морозов,Новосибирск,58,advertising,2025-07-31 17:00:00
41,Сергей Морозов,Unknown,32,email,2026-03-30 18:00:00
